,Id,Nome,EsportePai
319,319,Golf Women's Individual,Golf
320,320,Gymnastics,-
321,321,Gymnastics Men's Club Swinging,Gymnastics
322,322,Gymnastics Men's Floor Exercise,Gymnastics
323,323,Gymnastics Men's Horizontal Bar,Gymnastics
324,324,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics
325,325,Gymnastics Men's Horse Vault,Gymnastics
326,326,Gymnastics Men's Individual All-Around,Gymnastics
327,327,"Gymnastics Men's Individual All-Around, 4 Events",Gymnastics
328,328,"Gymnastics Men's Individual All-Around, 5 Events",Gymnastics
329,329,"Gymnastics Men's Individual All-Around, Apparatus Work",Gymnastics
330,330,"Gymnastics Men's Individual All-Around, Field Sports",Gymnastics
331,331,Gymnastics Men's Parallel Bars,Gymnastics
332,332,"Gymnastics Men's Parallel Bars, Teams",Gymnastics
333,333,Gymnastics Men's Pommelled Horse,Gymnastics
334,334,Gymnastics Men's Rings,Gymnastics
335,335,Gymnastics Men's Rope Climbing,Gymnastics
336,336,Gymnastics Men's Side Horse,Gymnastics
337,337,Gymnastics Men's Team All-Around,Gymnastics
338,338,"Gymnastics Men's Team All-Around, Free System",Gymnastics
339,339,"Gymnastics Men's Team All-Around, Swedish System",Gymnastics
340,340,Gymnastics Men's Tumbling,Gymnastics
341,341,Gymnastics Women's Balance Beam,Gymnastics
342,342,Gymnastics Women's Floor Exercise,Gymnastics
343,343,Gymnastics Women's Horse Vault,Gymnastics
344,344,Gymnastics Women's Individual All-Around,Gymnastics
345,345,Gymnastics Women's Team All-Around,Gymnastics
346,346,Gymnastics Women's Team Portable Apparatus,Gymnastics
347,347,Gymnastics Women's Uneven Bars,Gymnastics
348,348,Handball,-
349,349,Handball Men's Handball,Handball
350,350,Handball Women's Handball,Handball
351,351,Hockey,-
352,352,Hockey Men's Hockey,Hockey
353,353,Hockey Women's Hockey,Hockey
354,354,Ice Hockey,-
355,355,Ice Hockey Men's Ice Hockey,Ice Hockey
356,356,Jeu De Paume,-
357,357,Jeu De Paume Men's Singles,Jeu De Paume
358,358,Judo,-
359,359,Judo Men's Extra-Lightweight,Judo
360,360,Judo Men's Half-Heavyweight,Judo
361,361,Judo Men's Half-Lightweight,Judo
362,362,Judo Men's Half-Middleweight,Judo
363,363,Judo Men's Heavyweight,Judo
364,364,Judo Men's Lightweight,Judo
365,365,Judo Men's Middleweight,Judo
366,366,Judo Men's Open Class,Judo
367,367,Judo Women's Extra-Lightweight,Judo
368,368,Judo Women's Half-Heavyweight,Judo
369,369,Judo Women's Half-Lightweight,Judo
