,IdModalidade,AnoEdicao,Ouro,Prata,Bronze
185,185,2020,ITA,AZE,HUN
186,186,2020,ESP,JPN,ITA
187,187,2020,IRI,KSA,TUR
188,188,2020,SRB,CHN,TUR
189,189,2020,JPN,ESP,USA
190,190,2020,GER,HUN,ITA
191,191,2020,-,NED,AUS
192,192,2020,GBR,LTU,HUN
193,193,2020,GBR,-,-
194,194,2020,ISR,ROC,BLR
195,195,2020,BUL,ROC,ITA
196,196,2020,NZL,ROC,CAN
197,197,2020,CAN,NZL,CHN
198,198,2020,ROU,NZL,NED
199,199,2020,NZL,ROC,AUT
200,200,2020,IRL,GER,ITA
201,201,2020,NED,GBR,AUS
202,202,2020,CRO,ROU,DEN
203,203,2020,AUS,ROU,ITA
204,204,2020,NZL,GER,GBR
205,205,2020,AUS,NED,IRL
206,206,2020,ITA,FRA,NED
207,207,2020,CHN,POL,AUS
208,208,2020,FRA,NED,CHN
209,209,2020,GRE,NOR,CRO
210,210,2020,FIJ,NZL,ARG
211,211,2020,NZL,FRA,FIJ
212,212,2020,AUS,SWE,ESP
213,213,2020,GBR,HUN,ESP
214,214,2020,BRA,GER,NED
215,215,2020,NED,FRA,CHN
216,216,2020,GBR,POL,FRA
217,217,2020,CHN,FRA,GBR
218,218,2020,DEN,SWE,NED
219,219,2020,ITA,GBR,GER
220,220,2020,AUS,CRO,NOR
221,221,2020,GBR,NZL,GER
222,222,2020,USA,CHN,CHN
223,223,2020,-,KOR,CHN
224,224,2020,FRA,CUB,CHN
225,225,2020,CZE,CZE,GBR
226,226,2020,-,ROC,SRB
227,227,2020,SUI,ROC,ROC
228,228,2020,USA,ITA,CHN
229,229,2020,CHN,ROC,SUI
230,230,2020,-,-,CHN
231,231,2020,USA,DEN,-
232,232,2020,-,USA,SMR
233,233,2020,CHN,ROC,UKR
234,234,2020,ESP,SMR,USA
235,235,2020,CHN,USA,ROC
236,236,2020,IRI,SRB,CHN
237,237,2020,AUS,BRA,USA
238,238,2020,JPN,BRA,USA
239,239,2020,JPN,BRA,JPN
240,240,2020,JPN,JPN,GBR
241,241,2020,SLO,JPN,JPN
242,242,2020,-,USA,AUT
243,243,2020,USA,RSA,JPN
244,244,2020,BRA,JPN,AUS
245,245,2020,-,AUS,ITA
246,246,2020,RSA,USA,USA
247,247,2020,GBR,CHN,AUS
248,248,2020,-,CAN,AUS
249,249,2020,-,USA,GER
250,250,2020,HUN,JPN,-
251,251,2020,AUS,-,CHN
252,252,2020,-,SWE,DEN
253,253,2020,USA,USA,AUS
254,254,2020,CHN,GBR,SUI
255,255,2020,JPN,-,USA
256,256,2020,GBR,NED,ITA
257,257,2020,AUS,USA,CAN
258,258,2020,CHN,USA,USA
259,259,2020,GBR,ROC,AUS
260,260,2020,-,AUS,ROC
261,261,2020,USA,GBR,ITA
262,262,2020,-,FRA,BRA
263,263,2020,AUS,NED,FIN
264,264,2020,-,HKG,AUS
265,265,2020,USA,RSA,USA
266,266,2020,AUS,HKG,-
267,267,2020,-,HUN,-
268,268,2020,CAN,CHN,-
269,269,2020,USA,UKR,GER
270,270,2020,USA,ITA,UKR
271,271,2020,-,-,USA
272,272,2020,CHN,USA,AUS
273,273,2020,ROC,ROC,USA
274,274,2020,ROC,USA,-
275,275,2020,GBR,GBR,-
276,276,2020,-,CAN,USA
277,277,2020,AUS,CAN,USA
278,278,2020,JPN,USA,-
279,279,2020,USA,ITA,AUS
280,280,2020,CHN,CHN,GER
281,281,2020,CHN,GER,JPN
282,282,2020,JPN,CHN,-
283,283,2020,-,JPN,HKG
284,284,2020,-,-,JPN
285,285,2020,THA,ESP,SRB
286,286,2020,CRO,GBR,EGY
287,287,2020,SRB,KOR,FRA
